races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,champion
1,0,0,0,1,0,0,0,0,31,0,0,0,2,0
3,0,0,0,0,0,0,0,0,42,0,0,0,30,0
3,0,0,0,0,0,0,0,21,0,0,0,0,81,0
1,0,0,0,0,0,0,0,2,0,0,8,0,8,0
1,0,0,0,0,0,0,0,0,18,0,0,0,9,0
1,0,0,0,0,0,0,0,7,0,0,10,0,12,0
2,0,0,0,0,0,0,0,0,0,2,0,0,40,0
1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
17,0,0,0,0,3,0,0,30,12,2,0,0,273,0
4,0,0,0,0,0,0,0,11,0,1,0,0,84,0
1,0,0,0,0,0,0,0,0,4,1,0,0,12,0
1,0,0,0,0,0,0,0,7,0,0,1,0,17,0
1,0,0,0,0,0,0,0,0,9,0,0,0,16,0
1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2,0,0,0,0,0,0,0,4,0,1,0,0,34,0
21,0,0,0,0,1,0,0,27,21,2,14,0,290,0
17,0,0,0,0,1,0,0,48,2,2,4,0,285,0
22,0,0,0,0,5,0,0,28,17,0,3,0,296,0
11,0,0,0,0,2,0,0,16,1,2,5,0,152,0
4,0,0,0,0,1,0,0,4,1,0,18,0,38,0
5,0,0,0,0,0,0,0,9,0,3,6,0,69,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,5,1,0,0,28,0
1,0,0,0,0,0,0,0,15,0,0,10,0,20,0
1,0,1,0,0,0,0,0,10,0,0,18,0,12,0
1,0,0,0,0,0,0,0,16,0,0,0,0,27,0
1,0,0,0,0,0,0,0,7,0,0,0,0,24,0
1,0,0,0,0,1,0,0,8,0,0,0,0,21,0
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,0,0,1,0,0,11,0
2,0,0,0,0,0,0,0,13,0,0,8,0,31,0
9,0,0,0,0,1,0,0,37,6,0,38,0,116,0
14,0,0,0,0,3,0,0,17,3,3,22,0,177,0
6,0,0,0,0,0,0,0,15,0,0,0,0,116,0
11,0,0,0,0,2,0,0,16,0,3,2,0,220,0
5,0,0,0,0,1,0,0,0,0,0,0,0,91,0
8,0,0,0,0,0,0,0,0,0,0,0,0,187,0
2,0,0,0,0,0,0,0,0,0,1,0,0,44,0
13,0,3,0,0,1,0,1,37,0,2,70,0,138,0
16,2,6,7,10,3,2,2,14,29,1,123,1,48,0
16,2,8,8,9,0,0,0,3,10,1,174,0,39,0
15,2,8,1,4,0,0,0,16,5,1,190,2,61,0
16,8,11,13,15,3,3,3,2,18,2,275,1,20,1
14,6,7,12,14,3,1,1,0,15,3,174,0,16,0
15,6,11,9,10,1,1,1,7,20,1,231,1,29,1
16,7,12,8,11,4,3,3,1,10,0,287,0,29,1
15,3,7,1,5,2,0,0,6,10,2,150,3,42,0
16,5,7,1,3,5,3,4,11,11,1,207,4,60,0
3,0,0,3,3,0,0,0,0,12,3,0,0,3,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1,0,0,0,0,1,0,0,0,10,0,0,0,17,0
1,0,0,0,0,0,0,0,0,0,1,0,0,18,0
3,0,0,0,0,2,0,0,0,0,2,0,0,66,0
2,0,0,0,0,1,0,0,0,0,0,0,0,47,0
1,0,0,0,0,1,0,0,0,0,0,0,0,22,0
1,0,0,0,0,0,0,0,11,0,0,1,0,21,0
6,0,0,0,0,2,0,0,22,0,0,0,0,123,0
2,0,0,0,0,0,0,0,0,0,1,0,0,46,0
1,0,0,0,0,0,0,0,8,0,0,0,0,20,0
1,0,0,0,0,0,0,0,0,0,0,0,0,23,0
5,0,0,0,0,1,0,0,9,2,1,0,0,98,0
9,0,0,0,0,2,0,0,52,3,1,33,0,138,0
15,0,0,0,0,2,0,0,24,0,4,8,0,263,0
5,0,0,0,0,0,0,0,0,0,1,0,0,124,0
