races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,ahead
8,0,1,0,1,1,0,0,23,0,0,35,0,60,0
19,0,0,0,0,0,0,0,56,10,0,40,0,226,1
18,2,7,3,7,2,0,0,34,20,2,200,0,120,0
16,3,10,6,7,3,0,2,18,9,0,228,0,67,0
18,6,10,6,10,5,2,3,6,35,1,240,3,53,1
9,0,1,0,0,2,0,0,21,8,0,57,0,78,1
19,0,5,0,1,5,0,2,42,35,1,144,0,147,0
19,0,0,0,0,2,0,0,6,18,1,118,0,110,0
20,0,2,0,0,2,0,1,43,14,1,122,0,197,0
19,0,1,0,1,0,0,0,26,25,2,112,0,151,0
19,0,3,1,1,2,0,0,27,30,4,116,0,142,0
19,0,2,0,0,1,0,0,28,26,0,121,0,141,1
21,0,0,0,0,3,0,0,28,21,1,53,0,217,0
19,0,0,0,0,1,0,0,39,19,1,43,0,195,1
16,0,0,0,0,2,0,0,62,0,0,1,0,311,0
16,1,4,2,2,2,0,1,36,2,0,137,0,126,1
18,0,4,1,1,3,0,0,53,1,2,146,0,136,1
19,7,15,6,9,0,0,0,35,10,0,322,3,75,1
18,7,14,6,6,2,0,1,23,2,0,321,3,77,1
17,4,12,2,9,3,1,2,12,7,1,266,2,54,1
18,2,3,0,1,5,0,1,38,15,2,154,2,124,1
17,0,1,1,2,2,0,0,29,16,1,73,0,151,1
19,5,10,2,3,5,1,1,39,21,1,252,3,110,1
19,1,10,0,1,2,0,1,27,4,1,257,1,87,1
20,3,13,2,3,2,1,2,55,3,2,278,2,122,1
19,2,9,0,0,0,0,0,48,10,1,242,2,114,1
19,0,2,0,0,2,0,1,25,5,0,159,0,124,1
18,0,0,0,0,1,0,0,47,5,1,11,0,282,1
20,0,0,0,0,3,0,0,52,16,1,54,0,243,1
19,0,0,0,0,1,0,0,33,12,2,17,0,242,1
21,0,0,0,0,1,0,0,56,5,2,50,0,277,1
22,0,1,0,0,5,0,0,41,19,0,81,0,231,1
1,0,0,0,0,1,0,0,4,0,0,0,0,16,0
9,0,0,0,0,0,0,0,21,5,0,22,0,106,1
11,1,4,0,0,2,0,0,19,3,3,91,1,86,0
12,0,2,0,0,2,0,0,19,6,1,53,0,112,0
14,0,7,0,1,2,0,0,19,2,1,156,0,97,0
4,0,0,0,0,1,0,0,0,0,1,0,0,79,1
1,0,0,0,0,0,0,0,10,0,0,0,0,23,1
2,0,0,0,0,0,0,0,0,0,0,0,0,44,1
1,0,0,0,0,0,0,0,0,0,1,0,0,24,0
2,0,0,0,0,0,0,0,12,0,1,0,0,49,1
1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2,0,0,0,0,0,0,0,0,0,0,0,0,35,1
